date,site,Borough,Pathway,NMCTR external delay,Total external delay days
10/06/2024,UHL,Lewisham,Pathway 2,6,39
10/06/2024,UHL,Lewisham,Pathway 3,13,98
10/06/2024,UHL,Other,Pathway 0,2,13
10/06/2024,UHL,Other,Pathway 1,1,8
10/06/2024,UHL,Other,Pathway 2,2,11
10/06/2024,UHL,Other,Pathway 3,3,15
11/06/2024,QEH,Bexley,Pathway 1,6,20
11/06/2024,QEH,Bexley,Pathway 2,8,53
11/06/2024,QEH,Bexley,Pathway 3,9,63
11/06/2024,QEH,Greenwich,Pathway 0,2,2
11/06/2024,QEH,Greenwich,Pathway 1,15,39
11/06/2024,QEH,Greenwich,Pathway 2,11,56
11/06/2024,QEH,Greenwich,Pathway 3,8,55
11/06/2024,QEH,Other,Pathway 0,1,3
11/06/2024,QEH,Other,Pathway 1,1,1
11/06/2024,QEH,Other,Pathway 2,4,26
11/06/2024,UHL,Bexley,Pathway 1,2,4
11/06/2024,UHL,Bexley,Pathway 3,4,33
11/06/2024,UHL,Greenwich,Pathway 1,2,8
11/06/2024,UHL,Greenwich,Pathway 3,4,27
11/06/2024,UHL,Lewisham,Pathway 0,5,23
11/06/2024,UHL,Lewisham,Pathway 1,11,56
11/06/2024,UHL,Lewisham,Pathway 2,6,45
11/06/2024,UHL,Lewisham,Pathway 3,15,120
11/06/2024,UHL,Other,Pathway 0,2,17
11/06/2024,UHL,Other,Pathway 1,2,10
11/06/2024,UHL,Other,Pathway 2,1,7
11/06/2024,UHL,Other,Pathway 3,1,2
12/06/2024,QEH,Bexley,Pathway 0,2,2
12/06/2024,QEH,Bexley,Pathway 1,5,8
12/06/2024,QEH,Bexley,Pathway 2,8,60
12/06/2024,QEH,Bexley,Pathway 3,8,64
12/06/2024,QEH,Greenwich,Pathway 0,3,3
12/06/2024,QEH,Greenwich,Pathway 1,16,46
12/06/2024,QEH,Greenwich,Pathway 2,10,57
12/06/2024,QEH,Greenwich,Pathway 3,8,63
12/06/2024,QEH,Other,Pathway 0,2,5
12/06/2024,QEH,Other,Pathway 2,3,27
12/06/2024,UHL,Bexley,Pathway 3,4,37
12/06/2024,UHL,Greenwich,Pathway 1,2,10
